Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Source Stockpile,2467450.4644591007,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,2.8213006076351076e-06,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,0.4774537580301112,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,5.909020274869609e-06,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.3504730902777778,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,11.683482659970608,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,9879696.0,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,9566534.252947073,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.182575117692954e-06,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,0.968302491589526,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,1.221285376938348e-06,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.670009765625,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,11.544387400609017,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,4525936.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,2186745.9437003494,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,2.550718216211855e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,0.4831588302840229,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,5.279226189230621e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.3069346788194444,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,2432952.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,4261396.570063826,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.7515333512801838,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,0.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.1649951171875,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,37424.2061758961,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,11766798.155563831,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
