Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Relationship Frequency,0.38828727555241127,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,1147.4249445161577,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,4495392.0,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,7472215.755838344,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,0.000255244691567756,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,1.6621944773310857,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,0.0001535352848188439,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Frequency,0.3048646044470679,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,28324.28813041912,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,2862752.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,3990963.486298998,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,0.009894076794084546,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,1.3941003224516122,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,0.007047091355492722,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Frequency,0.19414363777620564,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,72.06046486480142,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,3755216.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,1726548.0580801587,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,1.9189432742298025e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,0.4597733014772409,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,4.173498506754621e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Frequency,0.25466798901036897,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,244458.54439045652,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Relationship Incidence,14745536.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Total Source Stockpile,10929610.720811587,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
Resource Transfer Rate,0.016578478014665356,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1006
